令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
11383 神川町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11385 上里町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11408 寄居町　　　　,2,-,2,2,-,1,235,-,-,-,96,139,-
1110　秩父　　　　　　　　,8,-,8,5,-,5,750,-,-,-,237,513,-
11207 秩父市　　　　,5,-,5,3,-,3,445,-,-,-,87,358,-
11361 横瀬町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11362 皆野町　　　　,2,-,2,2,-,1,210,-,-,-,150,60,-
11363 長瀞町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
11365 小鹿野町　　　,1,-,1,-,-,1,95,-,-,-,-,95,-
12　　千葉県　,290,34,256,119,22,145,59803,12208,60,96,10878,36561,11468
1201　千葉　　　　　　　　,48,6,42,17,4,23,9230,1264,11,19,1508,6428,1290
12101 中央区　　　　,19,3,16,8,2,10,4628,651,11,19,626,3321,779
12102 花見川区　　　,4,-,4,2,-,3,577,-,-,-,140,437,-
12103 稲毛区　　　　,6,-,6,2,-,3,911,-,-,-,237,674,-
12104 若葉区　　　　,6,1,5,2,-,3,1068,128,-,-,199,741,-
12105 緑区　　　　　,7,1,6,2,1,1,1293,435,-,-,126,732,218
12106 美浜区　　　　,6,1,5,1,1,3,753,50,-,-,180,523,293
1202　東葛南部　　　　　　,61,10,51,21,7,31,14526,3510,8,45,2307,8656,3466
12203 市川市　　　　,12,2,10,5,2,7,2953,815,-,45,296,1797,987
12204 船橋市　　　　,22,3,19,6,1,11,4487,1241,4,-,510,2732,449
12216 習志野市　　　,6,1,5,-,1,4,1445,108,-,-,-,1337,400
12221 八千代市　　　,10,4,6,5,1,4,2838,1064,-,-,883,891,501
12224 鎌ケ谷市　　　,5,-,5,2,-,1,1283,282,-,-,440,561,-
12227 浦安市　　　　,6,-,6,3,2,4,1520,-,4,-,178,1338,1129
1203　東葛北部　　　　　　,59,6,53,22,2,28,12322,2319,8,-,1751,8244,1264
12207 松戸市　　　　,19,1,18,7,1,7,3699,308,8,-,768,2615,600
12208 野田市　　　　,8,3,5,2,-,3,1495,691,-,-,99,705,-
12217 柏市　　　　　,18,2,16,6,1,9,5166,1320,-,-,498,3348,664
12220 流山市　　　　,6,-,6,4,-,3,1129,-,-,-,268,861,-
12222 我孫子市　　　,8,-,8,3,-,6,833,-,-,-,118,715,-
1204　印旛　　　　　　　　,30,3,27,11,3,20,7840,1560,9,-,1479,4792,1693
12211 成田市　　　　,6,1,5,3,1,3,2924,1045,9,-,460,1410,714
12212 佐倉市　　　　,6,-,6,1,1,4,1165,-,-,-,136,1029,405
12228 四街道市　　　,4,-,4,1,-,3,847,-,-,-,95,752,-
12230 八街市　　　　,4,1,3,2,-,2,516,180,-,-,239,97,-
12231 印西市　　　　,3,1,2,1,1,2,1089,335,-,-,60,694,574
12232 白井市　　　　,3,-,3,1,-,3,451,-,-,-,124,327,-
12233 富里市　　　　,2,-,2,1,-,2,473,-,-,-,54,419,-
12322 酒々井町　　　,1,-,1,1,-,-,311,-,-,-,311,-,-
12329 栄町　　　　　,1,-,1,-,-,1,64,-,-,-,-,64,-
1205　香取海匝　　　　　　,21,3,18,10,1,8,3559,839,6,14,839,1861,989
12202 銚子市　　　　,5,-,5,4,-,2,678,-,-,-,315,363,-
12215 旭市　　　　　,5,2,3,1,1,1,1467,599,6,-,45,817,989
12235 匝瑳市　　　　,3,1,2,1,-,1,308,60,-,-,83,165,-
12236 香取市　　　　,6,-,6,3,-,2,927,180,-,14,348,385,-
12342 神崎町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
12347 多古町　　　　,1,-,1,-,-,1,99,-,-,-,-,99,-
12349 東庄町　　　　,1,-,1,1,-,1,80,-,-,-,48,32,-
1206　山武長生夷隅　　　　,23,1,22,16,1,13,4136,1022,8,-,1125,1981,314
12210 茂原市　　　　,8,1,7,5,-,5,1116,382,-,-,252,482,-
12213 東金市　　　　,2,-,2,1,1,1,736,335,-,-,36,365,314
12218 勝浦市　　　　,1,-,1,1,-,1,290,-,-,-,33,257,-
12237 山武市　　　　,1,-,1,-,-,1,199,-,-,-,-,199,-
12238 いすみ市　　　,2,-,2,2,-,1,342,-,4,-,246,92,-
12239 大網白里市　　,2,-,2,1,-,1,219,-,-,-,60,159,-
12403 九十九里町　　,1,-,1,1,-,1,199,-,-,-,100,99,-
12409 芝山町　　　　,1,-,1,1,-,-,197,-,4,-,35,158,-
12410 横芝光町　　　,1,-,1,1,-,1,95,-,-,-,40,55,-
12421 一宮町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
12422 睦沢町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
12423 長生村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
12424 白子町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
12426 長柄町　　　　,2,-,2,1,-,1,354,-,-,-,239,115,-
12427 長南町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
12441 大多喜町　　　,2,-,2,2,-,-,389,305,-,-,84,-,-
12443 御宿町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1207　安房　　　　　　　　,16,2,14,8,1,7,2736,719,4,-,591,1422,917
12205 館山市　　　　,5,1,4,3,-,2,756,267,-,-,192,297,-
12223 鴨川市　　　　,7,1,6,3,1,3,1462,181,-,-,256,1025,917
12234 南房総市　　　,3,-,3,1,-,1,452,271,4,-,109,68,-
12463 鋸南町　　　　,1,-,1,1,-,1,66,-,-,-,34,32,-
1208　君津　　　　　　　　,19,1,18,8,1,8,3052,606,6,18,869,1553,660
12206 木更津市　　　,11,1,10,4,1,4,1978,388,6,18,505,1061,660
12225 君津市　　　　,4,-,4,4,-,1,552,-,-,-,364,188,-
12226 富津市　　　　,3,-,3,-,-,2,113,-,-,-,-,113,-
12229 袖ケ浦市　　　,1,-,1,-,-,1,409,218,-,-,-,191,-
1209　市原　　　　　　　　,13,2,11,6,2,7,2402,369,-,-,409,1624,875
12219 市原市　　　　,13,2,11,6,2,7,2402,369,-,-,409,1624,875
13　　東京都　,629,48,581,230,50,306,125152,20856,145,449,21912,81790,22675
1301　区中央部　　　　　　,48,1,47,8,4,26,13480,248,30,2,465,12735,2236
13101 千代田区　　　,15,-,15,1,1,5,2203,-,-,-,50,2153,482
13102 中央区　　　　,4,-,4,-,-,1,1186,-,-,-,-,1186,-
13103 港区　　　　　,12,-,12,-,2,8,3838,49,-,2,-,3787,1354
13105 文京区　　　　,9,-,9,2,-,7,5192,131,30,-,118,4913,-
13106 台東区　　　　,8,1,7,5,1,5,1061,68,-,-,297,696,400
1302　区南部　　　　　　　,40,1,39,15,4,20,7762,178,20,-,1336,6228,1799
13109 品川区　　　　,15,-,15,5,1,7,2952,50,-,-,513,2389,594
13111 大田区　　　　,25,1,24,10,3,13,4810,128,20,-,823,3839,1205
1303　区西南部　　　　　　,51,-,51,18,6,30,10728,1232,10,22,2034,7430,2932
13110 目黒区　　　　,9,-,9,3,3,9,2172,48,-,-,119,2005,1358
13112 世田谷区　　　,27,-,27,10,2,15,5688,1154,10,20,1065,3439,873
13113 渋谷区　　　　,15,-,15,5,1,6,2868,30,-,2,850,1986,701
1304　区西部　　　　　　　,41,-,41,14,6,27,9958,105,4,22,1257,8570,2276
13104 新宿区　　　　,13,-,13,1,3,12,5547,105,4,22,25,5391,1242
13114 中野区　　　　,8,-,8,4,1,6,1694,-,-,-,310,1384,451
13115 杉並区　　　　,20,-,20,9,2,9,2717,-,-,-,922,1795,583
1305　区西北部　　　　　　,93,4,89,42,5,51,17197,3007,20,12,4065,10093,2119
13116 豊島区　　　　,14,-,14,4,1,12,1633,-,-,-,337,1296,498
13117 北区　　　　　,19,2,17,7,1,10,2648,200,-,-,541,1907,351
13119 板橋区　　　　,41,-,41,22,1,22,9677,1831,20,12,2381,5433,438
13120 練馬区　　　　,19,2,17,9,2,7,3239,976,-,-,806,1457,832
1306　区東北部　　　　　　,89,6,83,31,2,38,10976,1252,5,36,2140,7543,764
13118 荒川区　　　　,11,-,11,7,-,2,990,-,-,-,401,589,-
13121 足立区　　　　,56,5,51,16,1,27,7202,1035,-,-,1366,4801,450
13122 葛飾区　　　　,22,1,21,8,1,9,2784,217,5,36,373,2153,314
1307　区東部　　　　　　　,54,-,54,17,4,30,8852,165,10,22,1450,7205,1999
13107 墨田区　　　　,13,-,13,4,2,8,2381,36,10,-,134,2201,1125
13108 江東区　　　　,20,-,20,6,1,11,3434,129,-,-,578,2727,400
13123 江戸川区　　　,21,-,21,7,1,11,3037,-,-,22,738,2277,474
1308　西多摩　　　　　　　,28,7,21,13,1,7,6058,2182,4,-,2079,1793,529
13205 青梅市　　　　,14,6,8,6,1,2,4122,2009,4,-,1430,679,529
13218 福生市　　　　,4,-,4,1,-,3,688,-,-,-,96,592,-
13227 羽村市　　　　,2,-,2,2,-,-,246,-,-,-,186,60,-
13228 あきる野市　　,4,1,3,1,-,1,578,113,-,-,100,365,-
13303 瑞穂町　　　　,1,-,1,1,-,-,113,-,-,-,113,-,-
13305 日の出町　　　,2,-,2,2,-,-,270,60,-,-,154,56,-
13307 檜原村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13308 奥多摩町　　　,1,-,1,-,-,1,41,-,-,-,-,41,-
1309　南多摩　　　　　　　,73,15,58,31,6,24,16009,6686,8,-,3288,6027,2549
13201 八王子市　　　,35,7,28,14,2,12,7830,3720,8,-,1506,2596,1110
13209 町田市　　　　,20,5,15,9,1,7,3976,1502,-,-,895,1579,447
13212 日野市　　　　,7,1,6,4,1,2,1210,346,-,-,416,448,300
13224 多摩市　　　　,7,2,5,1,2,2,1978,816,-,-,48,1114,692
13225 稲城市　　　　,4,-,4,3,-,1,1015,302,-,-,423,290,-
1310　北多摩西部　　　　　,26,-,26,11,3,14,4948,296,6,30,1082,3534,1189
13202 立川市　　　　,8,-,8,3,2,5,1587,38,6,-,166,1377,905
13207 昭島市　　　　,8,-,8,4,-,5,1793,258,-,30,491,1014,-
13214 国分寺市　　　,2,-,2,2,-,-,251,-,-,-,209,42,-
13215 国立市　　　　,2,-,2,-,-,1,66,-,-,-,-,66,-
13220 東大和市　　　,2,-,2,-,1,1,412,-,-,-,-,412,284
13223 武蔵村山市　　,4,-,4,2,-,2,839,-,-,-,216,623,-
1311　北多摩南部　　　　　,43,6,37,16,5,19,10775,3372,20,87,1129,6167,2605
13203 武蔵野市　　　,8,-,8,3,1,5,1121,-,20,-,128,973,611
13204 三鷹市　　　　,7,1,6,2,-,3,2774,1223,-,-,98,1453,-
13206 府中市　　　　,14,2,12,4,3,6,3608,850,-,60,240,2458,1413
13208 調布市　　　　,8,2,6,3,-,3,1551,771,-,-,279,501,-
13210 小金井市　　　,5,1,4,4,-,1,1140,508,-,-,384,248,-
13219 狛江市　　　　,1,-,1,-,1,1,581,20,-,27,-,534,581
1312　北多摩北部　　　　　,42,8,34,14,4,19,8355,2133,6,216,1587,4413,1678
13211 小平市　　　　,9,1,8,4,1,4,2295,699,6,-,581,1009,485
13213 東村山市　　　,12,3,9,3,1,4,2283,670,-,8,318,1287,337
13221 清瀬市　　　　,11,2,9,6,2,4,2051,255,-,208,638,950,856
13222 東久留米市　　,4,1,3,-,-,2,384,183,-,-,-,201,-
13229 西東京市　　　,6,1,5,1,-,5,1342,326,-,-,50,966,-
1313　島しょ　　　　　　　,1,-,1,-,-,1,54,-,2,-,-,52,-
13361 大島町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13362 利島村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13363 新島村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13364 神津島村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13381 三宅村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13382 御蔵島村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13401 八丈町　　　　,1,-,1,-,-,1,54,-,2,-,-,52,-
13402 青ヶ島村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
13421 小笠原村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
14　　神奈川県,336,45,291,123,42,167,73758,13487,74,146,12820,47231,19595
1404　川崎北部　　　　　　,20,5,15,5,2,7,5921,1520,-,-,646,3755,939
14134 高津区　　　　,5,1,4,-,-,3,1308,320,-,-,-,988,-
14135 多摩区　　　　,3,2,1,-,1,1,816,440,-,-,-,376,376
14136 宮前区　　　　,4,2,2,1,-,-,1841,649,-,-,40,1152,-
14137 麻生区　　　　,8,-,8,4,1,3,1956,111,-,-,606,1239,563
1405　川崎南部　　　　　　,19,1,18,5,3,16,5030,238,12,40,445,4295,1649
14131 川崎区　　　　,10,-,10,4,1,9,2686,38,12,-,347,2289,713
14132 幸区　　　　　,4,1,3,1,1,2,657,200,-,-,98,359,326
14133 中原区　　　　,5,-,5,-,1,5,1687,-,-,40,-,1647,610
1406　横須賀・三浦　　　　,29,2,27,13,4,17,6027,872,6,-,993,4156,2308
14201 横須賀市　　　,12,-,12,5,3,8,3163,362,6,-,445,2350,1639
14204 鎌倉市　　　　,12,1,11,7,1,7,2096,100,-,-,451,1545,669
14208 逗子市　　　　,2,-,2,1,-,-,133,-,-,-,97,36,-
14210 三浦市　　　　,2,1,1,-,-,1,546,410,-,-,-,136,-
14301 葉山町　　　　,1,-,1,-,-,1,89,-,-,-,-,89,-
1407　湘南東部　　　　　　,25,4,21,12,2,14,5035,913,6,-,1095,3021,937
14205 藤沢市　　　　,16,2,14,9,1,9,3198,529,6,-,785,1878,536
14207 茅ヶ崎市　　　,7,1,6,3,1,4,1554,200,-,-,310,1044,401
14321 寒川町　　　　,2,1,1,-,-,1,283,184,-,-,-,99,-
1408　湘南西部　　　　　　,21,6,15,6,4,8,6139,1502,6,30,1090,3511,1554
14203 平塚市　　　　,9,2,7,4,2,3,2323,603,6,-,523,1191,874
14211 秦野市　　　　,8,4,4,1,1,3,2148,899,-,30,365,854,330
14214 伊勢原市　　　,3,-,3,1,1,1,1356,-,-,-,202,1154,350
14341 大磯町　　　　,1,-,1,-,-,1,312,-,-,-,-,312,-
14342 二宮町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1409　県央　　　　　　　　,32,5,27,10,4,18,6871,1586,6,-,994,4285,1549
14212 厚木市　　　　,12,3,9,2,2,6,2746,856,6,-,126,1758,629
14213 大和市　　　　,9,1,8,1,1,6,1607,250,-,-,136,1221,403
14215 海老名市　　　,4,-,4,2,1,2,970,-,-,-,298,672,517
14216 座間市　　　　,4,-,4,3,-,2,905,155,-,-,324,426,-
14218 綾瀬市　　　　,1,-,1,1,-,1,168,-,-,-,60,108,-
14401 愛川町　　　　,1,-,1,1,-,1,150,-,-,-,50,100,-
14402 清川村　　　　,1,1,-,-,-,-,325,325,-,-,-,-,-
1410　相模原　　　　　　　,35,3,32,17,2,13,6981,961,6,-,2343,3671,858
14151 緑区　　　　　,10,1,9,5,1,3,1911,461,6,-,678,766,400
14152 中央区　　　　,9,-,9,5,-,5,1282,-,-,-,417,865,-
14153 南区　　　　　,16,2,14,7,1,5,3788,500,-,-,1248,2040,458
1411　県西　　　　　　　　,23,2,21,8,2,12,3805,879,6,-,894,2026,713
14206 小田原市　　　,13,2,11,2,1,9,2159,589,-,-,117,1453,417
14217 南足柄市　　　,2,-,2,1,-,1,398,290,-,-,55,53,-
14361 中井町　　　　,1,-,1,-,-,-,22,-,-,-,-,22,-
14362 大井町　　　　,1,-,1,1,-,-,30,-,-,-,30,-,-
14363 松田町　　　　,1,-,1,-,1,1,296,-,6,-,-,290,296
14364 山北町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
14366 開成町　　　　,1,-,1,1,-,-,310,-,-,-,310,-,-
14382 箱根町　　　　,1,-,1,1,-,-,109,-,-,-,109,-,-
14383 真鶴町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
14384 湯河原町　　　,3,-,3,2,-,1,481,-,-,-,273,208,-
1412　横浜　　　　　　　　,132,17,115,47,19,62,27949,5016,26,76,4320,18511,9088
14101 鶴見区　　　　,14,1,13,5,1,8,2043,189,-,-,538,1316,562
14102 神奈川区　　　,10,1,9,3,1,3,1784,252,26,-,215,1291,650
14103 西区　　　　　,4,-,4,-,1,1,639,-,-,-,-,639,410
14104 中区　　　　　,6,1,5,1,2,5,1370,217,-,-,42,1111,884
14105 南区　　　　　,4,-,4,2,2,1,1332,90,-,-,120,1122,1156
14106 保土ケ谷区　　,6,2,4,2,1,3,1237,390,-,-,99,748,236
14107 磯子区　　　　,4,-,4,1,-,3,904,-,-,-,120,784,-
14108 金沢区　　　　,7,-,7,1,2,6,2188,26,-,76,180,1906,804
14109 港北区　　　　,6,-,6,1,2,3,1320,176,-,-,42,1102,868
14110 戸塚区　　　　,13,3,10,3,1,8,2991,952,-,-,415,1624,510
14111 港南区　　　　,12,2,10,4,1,2,1911,627,-,-,249,1035,500
14112 旭区　　　　　,13,6,7,3,1,4,3491,1430,-,-,360,1701,518
14113 緑区　　　　　,8,-,8,7,-,5,1588,50,-,-,842,696,-
14114 瀬谷区　　　　,5,-,5,4,-,-,603,307,-,-,133,163,-
14115 栄区　　　　　,2,1,1,-,1,1,536,106,-,-,-,430,430
14116 泉区　　　　　,5,-,5,3,1,3,855,-,-,-,284,571,287
14117 青葉区　　　　,10,-,10,5,1,5,2214,112,-,-,476,1626,584
14118 都筑区　　　　,3,-,3,2,1,1,943,92,-,-,205,646,689
15　　新潟県　,120,20,100,37,8,64,26207,6182,36,30,3396,16563,3886
1501　下越　　　　　　　　,16,3,13,4,1,6,2630,756,4,-,525,1345,478
15206 新発田市　　　,6,1,5,1,1,1,1123,265,4,-,180,674,478
15212 村上市　　　　,6,1,5,2,-,3,858,222,-,-,165,471,-
15227 胎内市　　　　,2,1,1,-,-,1,359,269,-,-,-,90,-
15307 聖籠町　　　　,2,-,2,1,-,1,290,-,-,-,180,110,-
15581 関川村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
15586 粟島浦村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1502　新潟　　　　　　　　,47,7,40,19,3,21,10953,2397,8,30,1822,6696,1486
15101 北区　　　　　,4,2,2,1,-,1,1031,664,-,-,60,307,-
15102 東区　　　　　,5,1,4,3,-,3,1328,548,-,-,136,644,-
15103 中央区　　　　,13,-,13,3,1,7,3262,80,8,-,488,2686,676
15104 江南区　　　　,1,-,1,-,-,1,197,-,-,-,-,197,-
15105 秋葉区　　　　,3,1,2,-,-,2,595,160,-,-,-,435,-
15106 南区　　　　　,3,1,2,1,-,1,753,275,-,-,194,284,-
15107 西区　　　　　,9,2,7,4,2,4,2542,670,-,30,325,1517,810
15108 西蒲区　　　　,4,-,4,4,-,-,526,-,-,-,437,89,-
15218 五泉市　　　　,2,-,2,2,-,1,319,-,-,-,89,230,-
15223 阿賀野市　　　,2,-,2,1,-,-,333,-,-,-,93,240,-
15385 阿賀町　　　　,1,-,1,-,-,1,67,-,-,-,-,67,-
1503　県央　　　　　　　　,10,1,9,3,1,7,1795,240,-,-,192,1363,300
15204 三条市　　　　,7,1,6,2,-,4,1128,240,-,-,180,708,-
15209 加茂市　　　　,1,-,1,1,-,1,168,-,-,-,12,156,-
15213 燕市　　　　　,2,-,2,-,1,2,499,-,-,-,-,499,300
15342 弥彦村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
15361 田上町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1504　中越　　　　　　　　,19,3,16,5,2,9,5491,1501,10,-,552,3428,1092
15202 長岡市　　　　,11,2,9,4,2,4,3723,1161,10,-,492,2060,1092
15205 柏崎市　　　　,5,1,4,-,-,3,1204,340,-,-,-,864,-
15208 小千谷市　　　,2,-,2,1,-,1,470,-,-,-,60,410,-
15211 見附市　　　　,1,-,1,-,-,1,94,-,-,-,-,94,-
15405 出雲崎町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
15504 刈羽村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1505　魚沼　　　　　　　　,11,2,9,4,-,9,1671,333,4,-,202,1132,-
15210 十日町市　　　,2,-,2,-,-,2,330,-,-,-,-,330,-
15225 魚沼市　　　　,2,1,1,1,-,1,234,100,-,-,44,90,-
15226 南魚沼市　　　,5,1,4,1,-,4,920,233,4,-,56,627,-
15461 湯沢町　　　　,1,-,1,1,-,1,90,-,-,-,50,40,-
15482 津南町　　　　,1,-,1,1,-,1,97,-,-,-,52,45,-
1506　上越　　　　　　　　,14,3,11,2,1,10,3056,797,6,-,103,2150,530
15216 糸魚川市　　　,2,-,2,-,-,1,321,-,-,-,-,321,-
15217 妙高市　　　　,2,-,2,-,-,2,176,-,-,-,-,176,-
15222 上越市　　　　,10,3,7,2,1,7,2559,797,6,-,103,1653,530
1507　佐渡　　　　　　　　,3,1,2,-,-,2,611,158,4,-,-,449,-
15224 佐渡市　　　　,3,1,2,-,-,2,611,158,4,-,-,449,-
16　　富山県　,106,19,87,50,10,37,15011,3042,23,57,3757,8132,4255
1601　新川　　　　　　　　,14,2,12,7,2,4,1922,290,4,10,573,1045,714
16204 魚津市　　　　,6,2,4,3,1,1,862,290,-,-,272,300,300
16207 黒部市　　　　,4,-,4,3,1,1,655,-,4,5,241,405,414
16342 入善町　　　　,2,-,2,1,-,-,158,-,-,-,60,98,-
16343 朝日町　　　　,2,-,2,-,-,2,247,-,-,5,-,242,-
1602　富山　　　　　　　　,50,7,43,24,4,17,7393,1372,9,21,1947,4044,1929
16201 富山市　　　　,46,7,39,23,4,14,6805,1253,9,21,1897,3625,1929
16206 滑川市　　　　,2,-,2,1,-,1,329,68,-,-,50,211,-
16321 舟橋村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
16322 上市町　　　　,1,-,1,-,-,1,199,51,-,-,-,148,-
16323 立山町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
1603　高岡　　　　　　　　,26,7,19,9,3,12,3638,862,6,21,643,2106,1141
16202 高岡市　　　　,16,4,12,6,3,8,2506,529,6,12,444,1515,1141
16205 氷見市　　　　,4,1,3,1,-,2,407,45,-,5,60,297,-
16211 射水市　　　　,6,2,4,2,-,2,725,288,-,4,139,294,-
1604　砺波　　　　　　　　,16,3,13,10,1,4,2058,518,4,5,594,937,471
16208 砺波市　　　　,6,1,5,4,1,1,819,97,4,5,295,418,471
16209 小矢部市　　　,6,2,4,4,-,1,543,249,-,-,154,140,-
16210 南砺市　　　　,4,-,4,2,-,2,696,172,-,-,145,379,-
17　　石川県　,91,13,78,36,5,44,16553,3598,20,82,3066,9787,2255
1701　南加賀　　　　　　　,18,3,15,6,1,7,2570,585,4,10,411,1560,340
17203 小松市　　　　,9,1,8,3,1,4,1143,309,4,10,113,707,340
17206 加賀市　　　　,6,2,4,2,-,1,1089,276,-,-,243,570,-
17211 能美市　　　　,3,-,3,1,-,2,338,-,-,-,55,283,-
17324 川北町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1702　石川中央　　　　　　,58,9,49,25,3,28,11757,2783,8,25,2495,6446,1489
17201 金沢市　　　　,43,7,36,19,2,21,8960,2049,8,25,1962,4916,1184
17209 かほく市　　　,3,1,2,2,-,-,573,400,-,-,173,-,-
17210 白山市　　　　,4,-,4,-,1,3,539,30,-,-,-,509,305
17212 野々市市　　　,4,1,3,2,-,2,649,268,-,-,201,180,-
17361 津幡町　　　　,2,-,2,1,-,1,139,-,-,-,79,60,-
17365 内灘町　　　　,2,-,2,1,-,1,897,36,-,-,80,781,-
1703　能登中部　　　　　　,10,1,9,3,1,5,1628,230,4,40,76,1278,426
17202 七尾市　　　　,6,1,5,1,1,2,1299,230,4,40,24,1001,426
17207 羽咋市　　　　,1,-,1,-,-,1,174,-,-,-,-,174,-
17384 志賀町　　　　,2,-,2,1,-,1,85,-,-,-,25,60,-
17386 宝達志水町　　,1,-,1,1,-,1,70,-,-,-,27,43,-
17407 中能登町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
1704　能登北部　　　　　　,5,-,5,2,-,4,598,-,4,7,84,503,-
17204 輪島市　　　　,1,-,1,1,-,1,199,-,4,-,48,147,-
17205 珠洲市　　　　,1,-,1,-,-,1,163,-,-,7,-,156,-
17461 穴水町　　　　,1,-,1,-,-,1,100,-,-,-,-,100,-
17463 能登町　　　　,2,-,2,1,-,1,136,-,-,-,36,100,-
18　　福井県　,67,10,57,28,4,40,10249,2168,16,43,1763,6259,2002
1801　福井・坂井　　　　　,35,4,31,12,4,23,6126,1154,8,20,833,4111,2002
18201 福井市　　　　,27,4,23,11,4,16,4839,1113,8,20,803,2895,2002
18208 あわら市　　　,3,-,3,-,-,2,345,-,-,-,-,345,-
18210 坂井市　　　　,4,-,4,1,-,4,342,-,-,-,30,312,-
18322 永平寺町　　　,1,-,1,-,-,1,600,41,-,-,-,559,-
1802　奥越　　　　　　　　,6,1,5,2,-,4,510,135,-,-,93,282,-
18205 大野市　　　　,4,-,4,2,-,3,176,-,-,-,93,83,-
18206 勝山市　　　　,2,1,1,-,-,1,334,135,-,-,-,199,-
1803　丹南　　　　　　　　,16,2,14,9,-,8,1835,378,4,12,536,905,-
18207 鯖江市　　　　,7,1,6,4,-,4,963,198,4,-,352,409,-
18209 越前市　　　　,7,1,6,4,-,3,782,180,-,-,161,441,-
18382 池田町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
18404 南越前町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
18423 越前町　　　　,2,-,2,1,-,1,90,-,-,12,23,55,-
1804　嶺南　　　　　　　　,10,3,7,5,-,5,1778,501,4,11,301,961,-
18202 敦賀市　　　　,5,2,3,1,-,3,902,231,2,3,83,583,-
18204 小浜市　　　　,2,-,2,2,-,1,516,100,2,8,110,296,-
18442 美浜町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
18481 高浜町　　　　,1,-,1,1,-,1,90,-,-,-,50,40,-
18483 おおい町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
18501 若狭町　　　　,2,1,1,1,-,-,270,170,-,-,58,42,-
19　　山梨県　,60,8,52,27,1,35,10598,2273,28,22,1999,6276,644
1901　中北　　　　　　　　,32,5,27,15,1,15,6004,1255,12,22,1144,3571,644
19201 甲府市　　　　,14,3,11,4,1,7,3374,718,8,22,533,2093,644
19207 韮崎市　　　　,5,1,4,3,-,1,668,287,-,-,119,262,-
19208 南アルプス市　,5,1,4,3,-,2,643,210,-,-,144,289,-
19209 北杜市　　　　,2,-,2,2,-,2,230,-,4,-,86,140,-
19210 甲斐市　　　　,4,-,4,3,-,1,426,-,-,-,262,164,-
19214 中央市　　　　,1,-,1,-,-,1,618,40,-,-,-,578,-
19384 昭和町　　　　,1,-,1,-,-,1,45,-,-,-,-,45,-
1902　峡東　　　　　　　　,14,1,13,6,-,9,2421,482,4,-,568,1367,-
19205 山梨市　　　　,4,1,3,-,-,3,969,482,4,-,-,483,-
19211 笛吹市　　　　,8,-,8,5,-,4,1252,-,-,-,509,743,-
19213 甲州市　　　　,2,-,2,1,-,2,200,-,-,-,59,141,-
1903　峡南　　　　　　　　,6,-,6,3,-,5,549,-,4,-,150,395,-
19346 市川三郷町　　,1,-,1,-,-,1,90,-,-,-,-,90,-
