令和４年,医療施設調査,令和４（２０２２）年１０月１日,
二次医療圏・市区町村編　第１表　病院数；病床数，病院－病床の種類・二次医療圏・市区町村別
,施設数,,,,,,病床数,,,,,,
,総　数,精神科,一般病院,,地域医,救　急,総　数,精　神,感染症,結　核,療　養,一　般,地域医
,,病　院,総数,療養病床,療支援,告　示,,病　床,病　床,病　床,病　床,病　床,療支援
,,,,を有する,病　院,病　院,,,,,,,病　院
,,,,病院,(再掲),(再掲),,,,,,,(再掲)
,,,,(再掲),,,,,,,,,
,,,,,,,,,,,,,
01563 雄武町　　　　,1,-,1,-,-,1,25,-,-,-,-,25,-
0119　十勝　　　　　　　　,32,2,30,11,2,19,4562,467,6,-,888,3201,918
01207 帯広市　　　　,18,1,17,7,2,8,3255,299,6,-,582,2368,918
01631 音更町　　　　,4,1,3,2,-,2,608,168,-,-,228,212,-
01632 士幌町　　　　,1,-,1,-,-,1,50,-,-,-,-,50,-
01633 上士幌町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01634 鹿追町　　　　,1,-,1,1,-,1,50,-,-,-,20,30,-
01635 新得町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01636 清水町　　　　,1,-,1,-,-,1,91,-,-,-,-,91,-
01637 芽室町　　　　,1,-,1,-,-,1,120,-,-,-,-,120,-
01638 中札内村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01639 更別村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01641 大樹町　　　　,1,-,1,-,-,1,50,-,-,-,-,50,-
01642 広尾町　　　　,1,-,1,-,-,1,48,-,-,-,-,48,-
01643 幕別町　　　　,1,-,1,1,-,-,110,-,-,-,58,52,-
01644 池田町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
01645 豊頃町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01646 本別町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
01647 足寄町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
01648 陸別町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01649 浦幌町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0120　釧路　　　　　　　　,22,2,20,10,2,11,3869,519,4,10,914,2422,1076
01206 釧路市　　　　,17,2,15,7,2,8,3421,411,4,10,744,2252,1076
01661 釧路町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01662 厚岸町　　　　,1,-,1,-,-,1,55,-,-,-,-,55,-
01663 浜中町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
01664 標茶町　　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
01665 弟子屈町　　　,2,-,2,2,-,1,199,-,-,-,144,55,-
01667 鶴居村　　　　,1,-,1,1,-,-,134,108,-,-,26,-,-
01668 白糠町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0121　根室　　　　　　　　,7,2,5,1,-,4,702,215,4,-,60,423,-
01223 根室市　　　　,3,2,1,-,-,1,350,215,4,-,-,131,-
01691 別海町　　　　,1,-,1,-,-,1,84,-,-,-,-,84,-
01692 中標津町　　　,2,-,2,1,-,1,233,-,-,-,60,173,-
01693 標津町　　　　,1,-,1,-,-,1,35,-,-,-,-,35,-
01694 羅臼町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02　　青森県　,90,17,73,35,7,46,16334,4317,29,33,2253,9702,3415
0201　津軽地域　　　　　　,20,4,16,8,1,14,4057,869,6,-,548,2634,442
02202 弘前市　　　　,14,3,11,5,1,10,3160,701,6,-,360,2093,442
02204 黒石市　　　　,3,1,2,1,-,1,638,168,-,-,114,356,-
02210 平川市　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02343 西目屋村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02361 藤崎町　　　　,1,-,1,1,-,1,149,-,-,-,42,107,-
02362 大鰐町　　　　,1,-,1,-,-,1,30,-,-,-,-,30,-
02367 田舎館村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02381 板柳町　　　　,1,-,1,1,-,1,80,-,-,-,32,48,-
0202　八戸地域　　　　　　,27,5,22,9,3,11,4425,1387,6,-,493,2539,1461
02203 八戸市　　　　,21,5,16,6,3,6,3900,1387,6,-,354,2153,1461
02412 おいらせ町　　,2,-,2,1,-,1,138,-,-,-,60,78,-
02441 三戸町　　　　,1,-,1,1,-,1,96,-,-,-,39,57,-
02442 五戸町　　　　,1,-,1,-,-,1,165,-,-,-,-,165,-
02443 田子町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02445 南部町　　　　,2,-,2,1,-,2,126,-,-,-,40,86,-
02446 階上町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02450 新郷村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0203　青森地域　　　　　　,21,4,17,9,2,11,4457,1164,5,33,668,2587,1143
02201 青森市　　　　,19,4,15,8,2,9,4317,1164,5,33,620,2495,1143
02301 平内町　　　　,1,-,1,1,-,1,96,-,-,-,48,48,-
02303 今別町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02304 蓬田村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02307 外ヶ浜町　　　,1,-,1,-,-,1,44,-,-,-,-,44,-
0204　西北五地域　　　　　,8,1,7,5,-,3,980,164,4,-,252,560,-
02205 五所川原市　　,6,1,5,4,-,2,877,164,4,-,209,500,-
02209 つがる市　　　,1,-,1,1,-,-,43,-,-,-,43,-,-
02321 鰺ヶ沢町　　　,1,-,1,-,-,1,60,-,-,-,-,60,-
02323 深浦町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02384 鶴田町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02387 中泊町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0205　上十三地域　　　　　,11,3,8,3,1,5,1793,679,4,-,172,938,369
02206 十和田市　　　,5,2,3,-,1,2,978,539,4,-,-,435,369
02207 三沢市　　　　,3,1,2,1,-,1,444,140,-,-,84,220,-
02401 野辺地町　　　,1,-,1,1,-,1,151,-,-,-,31,120,-
02402 七戸町　　　　,1,-,1,-,-,1,110,-,-,-,-,110,-
02405 六戸町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02406 横浜町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02408 東北町　　　　,1,-,1,1,-,-,110,-,-,-,57,53,-
02411 六ヶ所村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0206　下北地域　　　　　　,3,-,3,1,-,2,622,54,4,-,120,444,-
02208 むつ市　　　　,2,-,2,1,-,1,574,54,4,-,120,396,-
02423 大間町　　　　,1,-,1,-,-,1,48,-,-,-,-,48,-
02424 東通村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02425 風間浦村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
02426 佐井村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
03　　岩手県　,92,15,77,29,6,47,16146,4056,38,91,2138,9823,2512
0301　盛岡　　　　　　　　,39,6,33,16,2,21,7046,1564,8,12,1253,4209,1083
03201 盛岡市　　　　,27,5,22,11,2,13,4772,1210,8,12,921,2621,1083
03214 八幡平市　　　,2,-,2,1,-,2,210,-,-,-,100,110,-
03216 滝沢市　　　　,2,-,2,1,-,2,230,-,-,-,46,184,-
03301 雫石町　　　　,2,-,2,1,-,1,188,-,-,-,88,100,-
03302 葛巻町　　　　,1,-,1,1,-,1,60,-,-,-,18,42,-
03303 岩手町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
03321 紫波町　　　　,1,1,-,-,-,-,286,286,-,-,-,-,-
03322 矢巾町　　　　,4,-,4,1,-,2,1300,68,-,-,80,1152,-
0302　岩手中部　　　　　　,12,3,9,2,1,6,1931,528,6,20,95,1282,434
03205 花巻市　　　　,6,1,5,2,-,2,871,288,-,-,95,488,-
03206 北上市　　　　,3,1,2,-,1,2,782,124,4,20,-,634,434
03208 遠野市　　　　,2,1,1,-,-,1,238,116,2,-,-,120,-
03366 西和賀町　　　,1,-,1,-,-,1,40,-,-,-,-,40,-
0303　胆江　　　　　　　　,9,1,8,4,1,6,1559,274,4,24,290,967,346
03215 奥州市　　　　,9,1,8,4,1,6,1559,274,4,24,290,967,346
03381 金ケ崎町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0304　両磐　　　　　　　　,10,1,9,1,1,4,1517,359,4,10,60,1084,315
03209 一関市　　　　,10,1,9,1,1,4,1517,359,4,10,60,1084,315
03402 平泉町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0305　気仙　　　　　　　　,3,-,3,1,-,1,702,198,4,10,60,430,-
03203 大船渡市　　　,1,-,1,-,-,1,489,105,4,10,-,370,-
03210 陸前高田市　　,2,-,2,1,-,-,213,93,-,-,60,60,-
03441 住田町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0306　釜石　　　　　　　　,6,1,5,1,-,2,979,204,-,-,102,673,-
03211 釜石市　　　　,5,1,4,1,-,2,929,204,-,-,102,623,-
03461 大槌町　　　　,1,-,1,-,-,-,50,-,-,-,-,50,-
0307　宮古　　　　　　　　,6,2,4,1,1,2,1196,572,4,10,148,462,334
03202 宮古市　　　　,4,2,2,1,1,1,1054,572,4,10,148,320,334
03482 山田町　　　　,1,-,1,-,-,-,50,-,-,-,-,50,-
03483 岩泉町　　　　,1,-,1,-,-,1,92,-,-,-,-,92,-
03484 田野畑村　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0308　久慈　　　　　　　　,4,1,3,2,-,2,666,210,4,-,85,367,-
03207 久慈市　　　　,3,1,2,2,-,1,625,210,4,-,85,326,-
03485 普代村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
03503 野田村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
03507 洋野町　　　　,1,-,1,-,-,1,41,-,-,-,-,41,-
0309　二戸　　　　　　　　,3,-,3,1,-,3,550,147,4,5,45,349,-
03213 二戸市　　　　,1,-,1,-,-,1,253,-,-,5,-,248,-
03501 軽米町　　　　,1,-,1,1,-,1,98,-,-,-,45,53,-
03506 九戸村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
03524 一戸町　　　　,1,-,1,-,-,1,199,147,4,-,-,48,-
04　　宮城県　,135,27,108,48,12,68,24595,6139,29,32,3175,15220,5329
0401　仙南　　　　　　　　,13,2,11,6,1,7,1799,601,4,4,352,838,310
04206 白石市　　　　,3,1,2,1,-,2,603,212,4,4,144,239,-
04208 角田市　　　　,3,-,3,2,-,1,230,-,-,-,119,111,-
04301 蔵王町　　　　,1,-,1,1,-,1,36,-,-,-,26,10,-
04302 七ヶ宿町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
04321 大河原町　　　,1,-,1,-,1,1,310,-,-,-,-,310,310
04322 村田町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
04323 柴田町　　　　,2,1,1,-,-,-,214,185,-,-,-,29,-
04324 川崎町　　　　,2,-,2,1,-,1,316,204,-,-,28,84,-
04341 丸森町　　　　,1,-,1,1,-,1,90,-,-,-,35,55,-
0403　仙台　　　　　　　　,77,16,61,19,9,36,16126,3823,10,-,1262,11031,4059
04101 青葉区　　　　,23,5,18,6,3,7,5087,1186,2,-,398,3501,1198
04102 宮城野区　　　,10,1,9,2,3,7,2628,477,-,-,108,2043,1590
04103 若林区　　　　,5,-,5,2,-,2,498,-,-,-,77,421,-
04104 太白区　　　　,9,2,7,2,2,4,2791,788,8,-,246,1749,914
04105 泉区　　　　　,9,1,8,2,-,6,1456,200,-,-,108,1148,-
04203 塩竈市　　　　,4,1,3,1,1,3,888,291,-,-,28,569,357
04207 名取市　　　　,3,2,1,-,-,1,753,370,-,-,-,383,-
04209 多賀城市　　　,1,-,1,1,-,-,143,-,-,-,45,98,-
04211 岩沼市　　　　,5,3,2,-,-,1,737,388,-,-,-,349,-
04216 富谷市　　　　,3,1,2,2,-,-,369,123,-,-,192,54,-
04361 亘理町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
04362 山元町　　　　,1,-,1,-,-,1,344,-,-,-,-,344,-
04401 松島町　　　　,1,-,1,-,-,1,54,-,-,-,-,54,-
04404 七ヶ浜町　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
04406 利府町　　　　,2,-,2,-,-,2,208,-,-,-,-,208,-
04421 大和町　　　　,1,-,1,1,-,1,170,-,-,-,60,110,-
04422 大郷町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
04424 大衡村　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
0406　大崎・栗原　　　　　,25,4,21,15,1,14,3102,692,7,28,921,1454,500
04213 栗原市　　　　,4,-,4,4,-,3,558,46,1,28,154,329,-
04215 大崎市　　　　,15,3,12,7,1,7,1966,473,6,-,532,955,500
04444 色麻町　　　　,1,-,1,1,-,1,90,-,-,-,50,40,-
04445 加美町　　　　,-,-,-,-,-,-,-,-,-,-,-,-,-
04501 涌谷町　　　　,3,1,2,2,-,2,329,173,-,-,76,80,-
04505 美里町　　　　,2,-,2,1,-,1,159,-,-,-,109,50,-
0409　石巻・登米・気仙沼　,20,5,15,8,1,11,3568,1023,8,-,640,1897,460
04202 石巻市　　　　,8,2,6,4,1,4,1685,443,4,-,411,827,460
